id,geo_lab,year,pop_cat,total_pop,m_pop,f_pop,sxfv_up,med,one_race,white,black,amin,asian,hwpi,other,two_race,lat_or,white_only,hse_mar,hse_ot,hse_avg,fam_avg,school_3up,school_pre,school_k8,school_high,school_coll,educ_twnfv_up,educ_nohigh,educ_high,educ_as,educ_bach,educ_grad,lang,eng,no_eng,some_eng,empstat,empstat_inlab,empstat_civlab,empstat_civemp,empstat_civun,empstat_civun_perc,empstat_af,empstat_nolab,civemp,wrkcls_wagsal,wrkcls_govt,wrkcls_selfemp,wrkcls_ufw,occ_mbsa,occ_srv,occ_sales,occ_con,occ_prod,ind_agr,ind_con,ind_man,ind_whsale,ind_retail,ind_trans,ind_info,ind_fire,ind_psma,ind_edhc,ind_aers,ind_ot,ind_pa,popearn12,earn12_less10,earn12_10_15,earn12_15_25,earn12_25_35,earn12_35_50,earn12_50_75,earn12_75up,earnmed_m,earnmed_f,inc_h12,inc_earn12,inc_ss12,inc_ssi12,inc_cpa12,inc_cpa12_mean,inc_rtin12,inc_rtin12_mean,inc_fstamp12,inc_medhh,avgwrk_hh,pov12,povrate_allfam,povrate_allfam_un18,povrate_allfam_un5,novhc,vhc,nophone,lingisl,hownperc_less30,hownperc_up30,grossrentperc_less30,grossrentperc_up30
8001,Colorado,2010,tot,5049071,50.1,49.9,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8007,Colorado,2011,tot,5116796,50.2,49.8,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8013,Colorado,2012,tot,5187582,50.1,49.9,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019,Colorado,2013,tot,5268367,50.2,49.8,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8025,Colorado,2014,tot,5355866,50.3,49.7,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8031,Colorado,2015,tot,5456574,50.2,49.8,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8037,Colorado,2016,tot,5540545,50.4,49.6,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,Colorado,2017,tot,5607154,50.3,49.7,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,Connecticut,2010,tot,3577073,48.6,51.4,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007,Connecticut,2011,tot,3580709,48.7,51.3,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9013,Connecticut,2012,tot,3590347,48.7,51.3,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9019,Connecticut,2013,tot,3596080,48.7,51.3,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025,Connecticut,2014,tot,3596677,48.8,51.2,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9031,Connecticut,2015,tot,3590886,48.8,51.2,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9037,Connecticut,2016,tot,3576452,48.8,51.2,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9043,Connecticut,2017,tot,3588184,48.8,51.2,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
